query,tier,rationale
Dairy Farm Nature Park,elevated,Elevated forested reserve (Bukit Timah massif W); absent from PUB list
Chestnut Nature Park,elevated,Elevated forest (Bukit Panjang); absent from PUB list
Windsor Nature Park,elevated,Elevated Central Catchment edge; absent from PUB list
Hindhede Nature Park,elevated,Elevated Bukit Timah reserve; absent from PUB list
Mount Pleasant Road,elevated,Elevated ridge (Polo Club); absent from PUB list
Andrew Road,elevated,Caldecott/Andrew Rd elevated ridge; absent from PUB list
Holland Hill,elevated,Elevated residential ridge; absent from PUB list
Mount Sinai Road,elevated,Elevated residential ridge; absent from PUB list
Punggol Central,lowlying,Low-lying new town centre; absent from comprehensive PUB list
Sengkang Square,lowlying,Low-lying new town centre; absent from comprehensive PUB list
Tampines Central 5,lowlying,Low-lying new town centre; absent from comprehensive PUB list
Jurong East Street 13,lowlying,Low-lying new town centre; absent from comprehensive PUB list
Toa Payoh Central,lowlying,Low-lying mature town centre; absent from comprehensive PUB list
Ang Mo Kio Central,lowlying,Low-lying mature town centre; absent from comprehensive PUB list
Bishan Street 22,lowlying,Low-lying town centre near canal; absent from comprehensive PUB list
Woodlands Square,lowlying,Low-lying regional centre; absent from comprehensive PUB list
