name,lon,lat,kind,confidence,source
Don Mueang,100.60100,13.92265,positive,high,2011 flood: district + domestic airport inundated (Wikipedia; HII)
Sai Mai,100.65784,13.92126,positive,high,2011 flood: could not drain to sea pumping stations (HII)
Khlong Sam Wa,100.72828,13.84761,positive,high,2011 flood: NE district flooded (HII)
Lak Si,100.58163,13.88435,positive,high,2011 flood: assistance dispatched (Wikipedia)
Bang Khen,100.59693,13.87559,positive,high,2011 flood: northern district flooded (HII/news)
Bang Sue,100.53744,13.80971,positive,high,2011 flood: assistance dispatched (Wikipedia)
Rangsit,100.61007,13.98745,positive,high,2011 flood: Rangsit Univ. total inundation; businesses closed (Wikipedia)
Lam Luk Ka,100.80806,13.99271,positive,high,2011 flood: Rangsit/Lumlukka corridor flooded (Wikipedia)
Bang Bua Thong,100.42208,13.91587,positive,high,2011 flood: Nonthaburi west flooded (HII/news)
Pak Kret,100.49743,13.91207,positive,high,2011 flood: riverside Nonthaburi flooded (news)
Mueang Nonthaburi,100.49412,13.85379,positive,high,2011 flood: provincial-capital riverfront flooded (news)
Min Buri,100.73269,13.80841,positive,high,2011 flood: eastern district flooded (HII)
Nong Chok,100.86308,13.85631,positive,high,2011 flood: far-eastern district flooded (HII)
Taling Chan,100.45707,13.77770,positive,high,2011 flood: western district flooded (news)
Thawi Watthana,100.34561,13.76651,positive,high,2011 flood: western district flooded (news)
Bang Phlat,100.50361,13.79069,positive,high,2011 flood: riverfront overtopping (CBS/news)
Silom,100.52813,13.72623,dry,high,2011: CBD core held dry behind floodwalls (CNN; France24)
Sathorn,100.53051,13.72136,dry,high,2011: CBD held dry (CNN)
Sukhumvit (Watthana),100.58488,13.74057,dry,high,2011: commercial/tourist core stayed dry (CNN; CSMonitor)
Pathum Wan / Siam,100.53102,13.74615,dry,high,2011: Siam CBD stayed dry (news)
Lumphini,100.54572,13.72561,dry,high,"2011: central, defended, dry (news)"
Bang Rak,100.51596,13.72395,dry,high,2011: riverside CBD held by floodwall (news)
Ratchathewi,100.53186,13.75322,dry,high,2011: inner district stayed dry (news)
